BLEURT,bleurt_text_score,bleurt_kg_score
text,-0.9638336896896362,-0.9794106483459473
text,-0.5789275765419006,-0.8020272254943848
kg,-1.2602688074111938,-1.1929011344909668
kg,-1.1052381992340088,-1.0310672521591187
kg,-1.1326537132263184,-1.0654854774475098
text,-0.9603320360183716,-1.161950707435608
text,-0.7908859848976135,-1.1151235103607178
text,-0.4617816209793091,-0.8635077476501465
text,-0.857742428779602,-0.9697674512863159
text,-0.8130598068237305,-1.215930461883545
text,-0.7765945196151733,-0.8220962285995483
text,-1.105756402015686,-1.1925082206726074
text,-1.08306086063385,-1.1850364208221436
text,-0.8514969348907471,-0.9134713411331177
text,-1.0479154586791992,-1.2145235538482666
kg,-0.6067618727684021,-0.3253135681152344
kg,-0.8990895748138428,-0.567177951335907
kg,-0.4330453872680664,-0.1487085372209549
kg,-1.2538185119628906,-0.9958968162536621
text,-0.8097161650657654,-1.363215446472168
kg,-1.0709397792816162,-0.688399076461792
text,-0.9487415552139282,-1.2341814041137695
kg,-1.1868679523468018,-1.1188603639602661
text,-0.6013932228088379,-0.8815784454345703
text,0.11596278846263885,-0.48449820280075073
text,-0.7935877442359924,-1.3281185626983643
kg,-0.9863966703414917,-0.7727102637290955
kg,-0.35969871282577515,-0.2740634083747864
kg,-0.8662769794464111,-0.46528249979019165
kg,-1.2278263568878174,-0.8039010763168335
kg,-0.2728269100189209,0.4499797821044922
text,-0.35157179832458496,-0.713787317276001
text,-0.7504417300224304,-0.9906179904937744
text,-0.8652925491333008,-1.1147509813308716
text,-0.4012877941131592,-0.7124547958374023
text,-0.4154701232910156,-0.49242568016052246
text,-0.9599651098251343,-1.0304168462753296
text,-0.808186948299408,-1.175183653831482
text,-0.5551414489746094,-0.5955457091331482
text,-0.16277946531772614,-0.55411696434021
kg,-0.771158754825592,-0.528822660446167
text,-0.770943284034729,-0.8798383474349976
kg,-1.0422658920288086,-0.7246718406677246
text,-0.6596477031707764,-0.9080426692962646
text,-0.46939390897750854,-0.5313092470169067
kg,-0.6128144264221191,-0.5995917916297913
text,-0.38141024112701416,-0.6046390533447266
kg,-0.7338157892227173,-0.04278139770030975
kg,-0.9769080877304077,-0.8736412525177002
text,-0.3875970244407654,-0.7361353635787964
text,-0.5857462882995605,-0.7760825157165527
text,-0.4272141456604004,-0.6000000834465027
kg,-1.104247808456421,-0.7830186486244202
text,-0.730965793132782,-0.8394960165023804
text,-0.5092828273773193,-0.6042854189872742
text,-0.6967280507087708,-0.7666662931442261
text,-0.6174162030220032,-0.8827615976333618
text,-0.9901638031005859,-1.0254424810409546
kg,-0.26845306158065796,-0.05622120201587677
kg,-0.6316672563552856,-0.5802246928215027
text,-0.9303953647613525,-1.0230886936187744
text,-0.8908271789550781,-1.0408660173416138
kg,-1.0971159934997559,-1.073860764503479
text,-1.1633604764938354,-1.1750813722610474
text,-0.47600674629211426,-0.543635368347168
text,-1.3579223155975342,-1.4620846509933472
text,-1.051760196685791,-1.115577220916748
text,-0.8924634456634521,-0.986333966255188
text,-0.8724298477172852,-1.0424458980560303
kg,-1.2732735872268677,-1.1800439357757568
text,-1.0271985530853271,-1.1190714836120605
kg,-1.0669355392456055,-0.8848333358764648
kg,-1.1389693021774292,-1.1199381351470947
text,-0.7711895704269409,-1.0296385288238525
kg,-1.1135025024414062,-0.988905668258667
