Bert-score,text_score,kg_score
,tensor(0.8662),tensor(0.8791)
,tensor(0.8559),tensor(0.8493)
,tensor(0.8633),tensor(0.8731)
,tensor(0.8949),tensor(0.8895)
,tensor(0.8957),tensor(0.8846)
,tensor(0.8985),tensor(0.9091)
,tensor(0.8534),tensor(0.8493)
,tensor(0.8617),tensor(0.8544)
,tensor(0.8938),tensor(0.8938)
,tensor(0.8685),tensor(0.8693)
,tensor(0.8814),tensor(0.8733)
,tensor(0.8744),tensor(0.8785)
,tensor(0.8765),tensor(0.8695)
,tensor(0.8542),tensor(0.8340)
,tensor(0.8818),tensor(0.8545)
,tensor(0.8883),tensor(0.8938)
,tensor(0.8802),tensor(0.8617)
,tensor(0.8588),tensor(0.8560)
,tensor(0.8701),tensor(0.8696)
,tensor(0.9112),tensor(0.8952)
,tensor(0.8819),tensor(0.8909)
,tensor(0.8744),tensor(0.8740)
,tensor(0.8795),tensor(0.8707)
,tensor(0.9084),tensor(0.8760)
,tensor(0.8918),tensor(0.9042)
,tensor(0.8705),tensor(0.8774)
,tensor(0.8527),tensor(0.8579)
,tensor(0.8755),tensor(0.8714)
,tensor(0.9235),tensor(0.9071)
,tensor(0.8447),tensor(0.8520)
,tensor(0.8843),tensor(0.8992)
,tensor(0.8860),tensor(0.9016)
,tensor(0.8473),tensor(0.8676)
,tensor(0.8704),tensor(0.8786)
,tensor(0.9451),tensor(0.9488)
,tensor(0.9049),tensor(0.8969)
,tensor(0.8821),tensor(0.8927)
,tensor(0.8717),tensor(0.8908)
,tensor(0.8940),tensor(0.8753)
,tensor(0.8709),tensor(0.8631)
,tensor(0.8607),tensor(0.8705)
,tensor(0.8675),tensor(0.8696)
,tensor(0.8914),tensor(0.8897)
,tensor(0.9157),tensor(0.9169)
,tensor(0.8837),tensor(0.8819)
,tensor(0.8806),tensor(0.8577)
,tensor(0.8749),tensor(0.8837)
,tensor(0.8980),tensor(0.8980)
,tensor(0.9347),tensor(0.9009)
,tensor(0.8652),tensor(0.8695)
,tensor(0.9201),tensor(0.8943)
,tensor(0.8750),tensor(0.8601)
,tensor(0.8694),tensor(0.8981)
,tensor(0.8709),tensor(0.8721)
,tensor(0.8751),tensor(0.8568)
,tensor(0.8616),tensor(0.8624)
,tensor(0.8874),tensor(0.8696)
,tensor(0.8779),tensor(0.8678)
,tensor(0.8925),tensor(0.8818)
,tensor(0.8747),tensor(0.8735)
,tensor(0.8574),tensor(0.8587)
,tensor(0.9108),tensor(0.9007)
,tensor(0.8680),tensor(0.8540)
,tensor(0.8977),tensor(0.9134)
,tensor(0.8729),tensor(0.8772)
,tensor(0.8573),tensor(0.8688)
,tensor(0.9026),tensor(0.8803)
,tensor(0.8556),tensor(0.8595)
,tensor(0.8607),tensor(0.8545)
,tensor(0.8674),tensor(0.8616)
,tensor(0.8379),tensor(0.8588)
,tensor(0.8437),tensor(0.8427)
,tensor(0.8646),tensor(0.8625)
,tensor(0.8605),tensor(0.8649)
,tensor(0.8636),tensor(0.8639)
,tensor(0.8713),tensor(0.8724)
,tensor(0.8474),tensor(0.8555)
,tensor(0.8535),tensor(0.8618)
,tensor(0.8623),tensor(0.8718)
,tensor(0.8643),tensor(0.8688)
,tensor(0.8880),tensor(0.8868)
,tensor(0.8668),tensor(0.8834)
,tensor(0.8712),tensor(0.8899)
,tensor(0.8768),tensor(0.8873)
,tensor(0.8579),tensor(0.8821)
,tensor(0.8707),tensor(0.8664)
,tensor(0.8716),tensor(0.8946)
,tensor(0.8700),tensor(0.8734)
,tensor(0.8563),tensor(0.8709)
,tensor(0.8650),tensor(0.8647)
,tensor(0.8580),tensor(0.8572)
,tensor(0.8497),tensor(0.8713)
,tensor(0.8797),tensor(0.8684)
,tensor(0.8628),tensor(0.8789)
,tensor(0.8545),tensor(0.8520)
,tensor(0.8895),tensor(0.8780)
,tensor(0.8740),tensor(0.8711)
,tensor(0.8596),tensor(0.8468)
,tensor(0.8691),tensor(0.8586)
,tensor(0.8812),tensor(0.8849)
,tensor(0.8907),tensor(0.8774)
,tensor(0.9114),tensor(0.9000)
,tensor(0.8690),tensor(0.8784)
,tensor(0.8450),tensor(0.8397)
,tensor(0.8683),tensor(0.8606)
,tensor(0.8791),tensor(0.8794)
,tensor(0.8698),tensor(0.8684)
,tensor(0.8552),tensor(0.8497)
,tensor(0.8732),tensor(0.8744)
,tensor(0.8718),tensor(0.8726)
,tensor(0.8779),tensor(0.8704)
,tensor(0.8675),tensor(0.8699)
,tensor(0.8873),tensor(0.8889)
,tensor(0.8632),tensor(0.8544)
,tensor(0.8546),tensor(0.8507)
,tensor(0.8943),tensor(0.8799)
,tensor(0.8643),tensor(0.8809)
,tensor(0.8458),tensor(0.8402)
